Year,Feed,Food
1961,884314.0,2618297.0
1962,913198.0,2688434.0
1963,954852.0,2730772.0
1964,972294.0,2793351.0
1965,1006792.0,2895741.0
1966,1062976.0,2990814.0
1967,1080316.0,3052944.0
1968,1145891.0,3130806.0
1969,1163298.0,3219690.0
1970,1176293.0,3312911.0
1971,1203458.0,3357075.0
1972,1222871.0,3395351.0
1973,1255976.0,3539270.0
1974,1189812.0,3601904.0
1975,1236524.0,3686444.0
1976,1229168.0,3732005.0
1977,1276128.0,3853478.0
1978,1379711.0,3997925.0
1979,1417669.0,4068401.0
1980,1358984.0,4124054.0
1981,1379423.0,4211070.0
1982,1425822.0,4331938.0
1983,1407512.0,4456626.0
1984,1506212.0,4584777.0
1985,1497317.0,4679552.0
1986,1513808.0,4795762.0
1987,1558185.0,4934327.0
1988,1494821.0,5034187.0
1989,1523976.0,5155268.0
1990,1552946.0,5227856.0
1991,1531076.0,5322549.0
1992,1986016.0,5923283.0
1993,2002020.0,6120920.0
1994,1999514.0,6285552.0
1995,1945650.0,6494051.0
1996,2018294.0,6646146.0
1997,1988891.0,6808274.0
1998,1965344.0,6983206.0
1999,1995136.0,7220455.0
2000,2105448.0,7439587.0
2001,2145315.0,7546602.0
2002,2130442.0,7703775.0
2003,2144306.0,7842758.0
2004,2265261.0,8017541.0
2005,2231603.0,8187739.0
2006,2216267.0,8391566.0
2007,2253747.0,8614041.0
2008,2366119.0,8808645.0
2009,2279482.0,8932409.0
2010,2300597.0,9144475.0
2011,2455964.0,9371838.0
2012,2423161.0,9616184.0
2013,2608511.0,9752737.0
