Element,Item,1961 - 1991,1991 - 2013
Feed,Animal fats,37.0,131.0
Feed,Barley and products,23899.0,19667.0
Feed,Beans,31.0,227.0
Feed,Cassava and products,2304.0,171.0
Feed,Cereals - Excluding Beer,39909.0,40934.0
Feed,"Cereals, Other",431.0,104.0
Feed,Demersal Fish,13.0,229.0
Feed,"Fish, Body Oil",37.0,131.0
Feed,"Fish, Seafood",2008.0,1171.0
Feed,Maize and products,3693.0,3424.0
Feed,Milk - Excluding Butter,61578.0,26062.0
Feed,Millet and products,1.0,0.0
Feed,Oats,5056.0,2140.0
Feed,Offals,3.0,8.0
Feed,"Offals, Edible",3.0,8.0
Feed,Oilcrops,194.0,777.0
Feed,"Oilcrops, Other",193.0,521.0
Feed,Peas,131.0,288.0
Feed,Pelagic Fish,1994.0,942.0
Feed,Potatoes and products,12728.0,676.0
Feed,Pulses,162.0,515.0
Feed,Rice (Milled Equivalent),0.0,61.0
Feed,"Roots, Other",54.0,10.0
Feed,Sorghum and products,1085.0,73.0
Feed,Soyabeans,0.0,255.0
Feed,Starchy Roots,15109.0,870.0
Feed,Sugar & Sweeteners,13.0,0.0
Feed,Sugar (Raw Equivalent),13.0,0.0
Feed,Sugar Crops,0.0,3.0
Feed,Sugar cane,0.0,3.0
Feed,Sweet potatoes,19.0,8.0
Feed,Vegetables,922.0,745.0
Feed,"Vegetables, Other",922.0,745.0
Feed,Wheat and products,5740.0,15462.0
Food,Alcoholic Beverages,9252.0,15707.0
Food,Animal fats,1791.0,1161.0
Food,Apples and products,1442.0,857.0
Food,"Aquatic Animals, Others",0.0,0.0
Food,Aquatic Plants,0.0,0.0
Food,"Aquatic Products, Other",0.0,0.0
Food,Bananas,676.0,775.0
Food,Barley and products,141.0,156.0
Food,Beans,85.0,120.0
Food,Beer,8295.0,13905.0
Food,"Beverages, Alcoholic",657.0,724.0
Food,"Beverages, Fermented",30.0,64.0
Food,Bovine Meat,2508.0,1883.0
Food,"Butter, Ghee",1163.0,270.0
Food,Cephalopods,12.0,1.0
Food,Cereals - Excluding Beer,13503.0,10876.0
Food,"Cereals, Other",26.0,165.0
Food,"Citrus, Other",11.0,252.0
Food,Cloves,0.0,0.0
Food,Cocoa Beans and products,136.0,124.0
Food,Coconut Oil,202.0,274.0
Food,Coconuts - Incl Copra,106.0,86.0
Food,Coffee and products,103.0,207.0
Food,Cream,299.0,554.0
Food,Crustaceans,88.0,217.0
Food,Dates,0.0,0.0
Food,Demersal Fish,619.0,791.0
Food,Eggs,2288.0,1344.0
Food,"Fats, Animals, Raw",324.0,331.0
Food,"Fish, Body Oil",0.0,0.0
Food,"Fish, Liver Oil",0.0,4.0
Food,"Fish, Seafood",1265.0,1819.0
Food,Freshwater Fish,102.0,161.0
Food,Fruits - Excluding Wine,5753.0,9092.0
Food,"Fruits, Other",1230.0,1555.0
Food,Grapefruit and products,119.0,116.0
Food,Grapes and products (excl wine),1033.0,617.0
Food,Groundnut Oil,30.0,3.0
Food,Groundnuts (Shelled Eq),20.0,68.0
Food,Honey,29.0,36.0
Food,"Lemons, Limes and products",70.0,108.0
Food,Maize Germ Oil,20.0,20.0
Food,Maize and products,1087.0,1112.0
Food,"Marine Fish, Other",0.0,5.0
Food,Meat,8110.0,7771.0
Food,"Meat, Other",22.0,109.0
Food,Milk - Excluding Butter,62622.0,48230.0
Food,"Molluscs, Other",43.0,171.0
Food,Mutton & Goat Meat,941.0,521.0
Food,Nuts and products,94.0,123.0
Food,Oats,416.0,278.0
Food,Offals,1280.0,812.0
Food,"Offals, Edible",1280.0,812.0
Food,Oilcrops,138.0,220.0
Food,"Oilcrops Oil, Other",5.0,0.0
Food,"Oilcrops, Other",0.0,0.0
Food,Olive Oil,3.0,67.0
Food,Olives (including preserved),1.0,22.0
Food,Onions,480.0,696.0
Food,"Oranges, Mandarines",1129.0,4615.0
Food,Palm Oil,114.0,6.0
Food,Palmkernel Oil,65.0,12.0
Food,Peas,171.0,112.0
Food,Pelagic Fish,402.0,470.0
Food,Pepper,0.0,9.0
Food,Pigmeat,3159.0,2983.0
Food,Pimento,0.0,2.0
Food,Pineapples and products,37.0,115.0
Food,Plantains,0.0,80.0
Food,Potatoes and products,13266.0,9395.0
Food,Poultry Meat,1481.0,2276.0
Food,Pulses,280.0,241.0
Food,"Pulses, Other and products",13.0,6.0
Food,Rape and Mustard Oil,181.0,517.0
Food,Rape and Mustardseed,1.0,19.0
Food,Rice (Milled Equivalent),115.0,218.0
Food,Rye and products,30.0,53.0
Food,Sesame seed,0.0,0.0
Food,Sesameseed Oil,0.0,0.0
Food,Soyabean Oil,190.0,177.0
Food,Soyabeans,0.0,7.0
Food,Spices,10.0,42.0
Food,"Spices, Other",7.0,34.0
Food,Starchy Roots,13266.0,9396.0
Food,Stimulants,599.0,548.0
Food,Sugar & Sweeteners,5130.0,3577.0
Food,Sugar (Raw Equivalent),4841.0,2815.0
Food,Sunflower seed,0.0,3.0
Food,Sunflowerseed Oil,144.0,241.0
Food,"Sweeteners, Other",260.0,723.0
Food,Tea (including mate),364.0,223.0
Food,Tomatoes and products,763.0,979.0
Food,Treenuts,94.0,123.0
Food,Vegetable Oils,963.0,1329.0
Food,Vegetables,6160.0,6900.0
Food,"Vegetables, Other",4924.0,5226.0
Food,Wheat and products,11683.0,8893.0
Food,Wine,271.0,1014.0
Food,Yams,0.0,0.0
