,Element,Item,Average
0,Food,Animal fats,1476.0
1,Food,Barley and products,148.5
2,Food,Beans,102.5
3,Food,Cereals - Excluding Beer,12189.5
4,Food,"Cereals, Other",95.5
5,Food,Demersal Fish,705.0
6,Food,"Fish, Body Oil",0.0
7,Food,"Fish, Seafood",1542.0
8,Food,Maize and products,1099.5
9,Food,Milk - Excluding Butter,55426.0
10,Food,Oats,347.0
11,Food,Offals,1046.0
12,Food,"Offals, Edible",1046.0
13,Food,Oilcrops,179.0
14,Food,"Oilcrops, Other",0.0
15,Food,Peas,141.5
16,Food,Pelagic Fish,436.0
17,Food,Potatoes and products,11330.5
18,Food,Pulses,260.5
19,Food,Rice (Milled Equivalent),166.5
20,Food,Soyabeans,3.5
21,Food,Starchy Roots,11331.0
22,Food,Sugar & Sweeteners,4353.5
23,Food,Sugar (Raw Equivalent),3828.0
24,Food,Vegetables,6530.0
25,Food,"Vegetables, Other",5075.0
26,Food,Wheat and products,10288.0
27,Feed,Animal fats,84.0
28,Feed,Barley and products,21783.0
29,Feed,Beans,129.0
30,Feed,Cereals - Excluding Beer,40421.5
31,Feed,"Cereals, Other",267.5
32,Feed,Demersal Fish,121.0
33,Feed,"Fish, Body Oil",84.0
34,Feed,"Fish, Seafood",1589.5
35,Feed,Maize and products,3558.5
36,Feed,Milk - Excluding Butter,43820.0
37,Feed,Oats,3598.0
38,Feed,Offals,5.5
39,Feed,"Offals, Edible",5.5
40,Feed,Oilcrops,485.5
41,Feed,"Oilcrops, Other",357.0
42,Feed,Peas,209.5
43,Feed,Pelagic Fish,1468.0
44,Feed,Potatoes and products,6702.0
45,Feed,Pulses,338.5
46,Feed,Rice (Milled Equivalent),30.5
47,Feed,Soyabeans,127.5
48,Feed,Starchy Roots,7989.5
49,Feed,Sugar & Sweeteners,6.5
50,Feed,Sugar (Raw Equivalent),6.5
51,Feed,Vegetables,833.5
52,Feed,"Vegetables, Other",833.5
53,Feed,Wheat and products,10601.0
